GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",19755,49,9691,421,666,218,666,218,0,118,1507,302,1487,301,20,33,709,204,632,196,77,69,896,257,816,260,80,67,1557,232,1466,201,91,91,1579,260,1509,274,70,110,1404,300,1369,285,35,55,776,187,776,187,0,118,597,199,597,199,0,118,10064,427,556,217,556,217,0,118,1477,266,1457,257,20,33,726,209,602,195,124,108,867,252,844,253,23,36,1340,211,1241,185,99,94,1773,271,1756,273,17,27,1441,243,1403,247,38,43,912,197,912,197,0,118,972,193,972,193,0,118
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",20067,213,8913,452,400,214,400,214,0,118,1319,259,1229,247,90,67,751,295,614,258,137,112,787,261,547,218,240,181,1103,290,969,255,134,138,1543,283,1170,250,373,186,1132,196,1070,199,62,63,994,225,972,215,22,39,884,188,884,188,0,118,11154,467,285,154,285,154,0,118,1356,323,1267,295,89,85,902,259,902,259,0,118,1256,340,1027,271,229,139,1015,243,931,215,84,76,2143,292,2046,284,97,71,1632,272,1478,270,154,100,1187,211,1187,211,0,118,1378,242,1378,242,0,118
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",59838,232,29075,831,2033,497,1959,503,74,97,4449,477,4343,499,106,87,2571,432,2002,320,569,317,4313,576,3208,493,1105,356,4145,469,3707,463,438,228,4953,484,4021,470,932,344,3353,473,3144,413,209,137,1871,338,1871,338,0,118,1387,273,1387,273,0,118,30763,818,2051,437,2015,437,36,43,4343,563,4228,552,115,84,2222,408,1856,420,366,145,4123,579,3588,578,535,259,4251,493,3801,522,450,227,5047,474,4584,464,463,229,3495,506,3126,464,369,217,2382,308,2382,308,0,118,2849,453,2755,437,94,145
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",50783,258,24240,714,1831,436,1772,439,59,49,3780,494,3729,495,51,60,2652,517,1734,471,918,318,3927,543,3056,421,871,359,3221,495,2677,468,544,262,3243,453,2684,447,559,233,3065,433,2858,412,207,139,1265,274,1265,274,0,118,1256,214,1256,214,0,118,26543,722,1753,364,1641,342,112,113,3983,573,3810,553,173,165,2090,392,1621,340,469,222,4128,612,3555,632,573,204,3151,465,2881,448,270,162,4659,491,4094,453,565,225,3197,461,2862,419,335,205,1636,256,1636,256,0,118,1946,303,1877,294,69,110
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",40606,639,19503,767,1228,288,1228,288,0,118,2980,496,2765,446,215,284,1479,314,1230,299,249,127,2317,481,1970,371,347,250,2667,329,2246,327,421,237,3621,352,3367,349,254,144,2326,336,2252,327,74,54,1758,221,1758,221,0,118,1127,235,1127,235,0,118,21103,704,1239,294,1173,276,66,83,2969,405,2923,405,46,52,1500,332,1325,324,175,107,2732,416,2368,397,364,200,2725,305,2487,283,238,173,3786,398,3578,371,208,137,2495,305,2378,303,117,90,1929,255,1929,255,0,118,1728,291,1728,291,0,118
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",25073,119,12185,467,754,184,754,184,0,118,2362,437,2362,437,0,118,1028,364,964,364,64,60,950,227,907,221,43,51,1654,246,1551,247,103,97,1946,205,1811,221,135,132,1802,216,1765,224,37,51,1064,229,1064,229,0,118,625,168,625,168,0,118,12888,460,674,268,674,268,0,118,1887,351,1869,350,18,30,667,161,630,168,37,44,1306,295,1258,296,48,45,2059,280,2010,281,49,56,1980,266,1897,268,83,53,1715,243,1680,243,35,36,1258,253,1258,253,0,118,1342,307,1342,307,0,118
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",34130,143,16639,634,1206,279,1206,279,0,118,3579,381,3579,381,0,118,1002,344,937,348,65,73,752,240,648,217,104,99,2541,230,2480,224,61,57,3359,321,3120,310,239,139,2256,410,2182,408,74,72,1164,190,1164,190,0,118,780,197,780,197,0,118,17491,640,1114,263,1114,263,0,118,3179,386,3111,372,68,109,787,214,510,158,277,165,1546,383,1407,378,139,103,2445,257,2385,243,60,96,3185,323,2988,314,197,122,2433,372,2286,320,147,168,1532,231,1479,229,53,60,1270,249,1270,249,0,118
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",122550,449,58385,1270,6170,620,5837,603,333,256,11197,748,10472,798,725,255,9236,893,6301,769,2935,532,8717,788,4986,692,3731,706,6689,646,4537,580,2152,484,6761,559,4729,457,2032,414,5124,589,4315,480,809,298,2925,314,2862,339,63,81,1566,247,1550,249,16,24,64165,1212,4673,550,4468,542,205,127,10972,765,10213,869,759,324,9533,702,7957,661,1576,339,10034,807,7853,759,2181,428,8765,550,7135,547,1630,325,7327,618,5682,532,1645,430,6020,556,5284,538,736,254,3838,348,3723,342,115,92,3003,387,3003,387,0,118
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",57583,156,28276,865,2513,554,2501,559,12,19,4096,562,3917,553,179,133,2894,424,2033,385,861,282,4400,560,3530,536,870,343,4088,562,3547,501,541,241,4015,491,3605,489,410,190,2988,418,2782,388,206,116,1603,255,1521,242,82,103,1679,278,1679,278,0,118,29307,842,2623,462,2542,450,81,111,3173,549,3034,566,139,110,2771,500,2168,376,603,264,4762,535,4475,548,287,149,3720,455,3330,449,390,203,4387,530,3999,486,388,222,3878,445,3451,415,427,247,2042,315,1991,324,51,60,1951,286,1951,286,0,118
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",72350,278,34099,1080,2890,404,2835,395,55,59,5556,588,5426,596,130,134,4905,791,3799,713,1106,320,5511,690,3952,599,1559,393,4069,509,3232,449,837,275,3950,438,3020,385,930,285,3788,511,3224,482,564,214,1617,243,1564,228,53,84,1813,306,1813,306,0,118,38251,1013,3141,476,3097,469,44,55,5317,724,5040,665,277,260,5116,644,4372,656,744,224,5580,661,4795,571,785,286,5090,526,4073,499,1017,302,4426,530,3560,473,866,295,4200,551,3378,490,822,320,2488,389,2408,366,80,76,2893,355,2893,355,0,118
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",30185,188,13734,476,750,196,738,192,12,20,1944,293,1883,287,61,55,987,247,741,187,246,182,1786,321,1503,296,283,136,1929,253,1690,213,239,150,2273,274,2098,274,175,134,1950,246,1778,228,172,122,1178,221,1178,221,0,118,937,179,937,179,0,118,16451,546,1182,345,1161,345,21,34,2078,364,2033,358,45,53,946,285,873,275,73,70,1734,282,1655,283,79,72,2188,236,2056,225,132,104,2461,299,2326,293,135,86,2538,360,2415,352,123,91,1336,220,1336,220,0,118,1988,314,1882,287,106,132
