Gender,Age,Coverage,Stat,Geography,GEO.display-label,"Bloomfield town, Hartford County, Connecticut","East Hartford town, Hartford County, Connecticut","Enfield town, Hartford County, Connecticut","Farmington town, Hartford County, Connecticut","Glastonbury town, Hartford County, Connecticut","Hartford town, Hartford County, Connecticut","Manchester town, Hartford County, Connecticut","Newington town, Hartford County, Connecticut","Simsbury town, Hartford County, Connecticut","South Windsor town, Hartford County, Connecticut","West Hartford town, Hartford County, Connecticut","Wethersfield town, Hartford County, Connecticut","Windsor town, Hartford County, Connecticut","Vernon town, Tolland County, Connecticut"
All,All,All,Estimate,Estimate; Total:,HD01_VD01,20067,50783,40606,25073,34130,122550,57583,30185,23289,25613,62191,26414,28683,28881
All,All,All,Margin of Error,Margin of Error; Total:,HD02_VD01,213,258,639,119,143,449,156,188,164,105,253,185,140,196
Male,All,All,Estimate,Estimate; Male:,HD01_VD02,8913,24240,19503,12185,16639,58385,28276,13734,11490,13075,28663,12629,13638,14254
Male,All,All,Margin of Error,Margin of Error; Male:,HD02_VD02,452,714,767,467,634,1270,865,476,376,537,745,542,465,565
Male,Under 6 years,All,Estimate,Estimate; Male: - Under 6 years:,HD01_VD03,400,1831,1228,754,1206,6170,2513,750,684,926,1905,745,801,839
Male,Under 6 years,All,Margin of Error,Margin of Error; Male: - Under 6 years:,HD02_VD03,214,436,288,184,279,620,554,196,191,299,338,215,268,232
Male,Under 6 years,With health insurance coverage,Estimate,Estimate; Male: - Under 6 years: - With health insurance coverage,HD01_VD04,400,1772,1228,754,1206,5837,2501,738,684,926,1870,745,754,839
Male,Under 6 years,With health insurance coverage,Margin of Error,Margin of Error; Male: - Under 6 years: - With health insurance coverage,HD02_VD04,214,439,288,184,279,603,559,192,191,299,330,215,270,232
Male,Under 6 years,No health insurance coverage,Estimate,Estimate; Male: - Under 6 years: - No health insurance coverage,HD01_VD05,0,59,0,0,0,333,12,12,0,0,35,0,47,0
Male,Under 6 years,No health insurance coverage,Margin of Error,Margin of Error; Male: - Under 6 years: - No health insurance coverage,HD02_VD05,118,49,118,118,118,256,19,20,118,118,40,118,57,118
Male,6 to 17 years,All,Estimate,Estimate; Male: - 6 to 17 years:,HD01_VD06,1319,3780,2980,2362,3579,11197,4096,1944,2661,2732,5065,2129,2321,1766
Male,6 to 17 years,All,Margin of Error,Margin of Error; Male: - 6 to 17 years:,HD02_VD06,259,494,496,437,381,748,562,293,361,453,444,393,424,330
Male,6 to 17 years,With health insurance coverage,Estimate,Estimate; Male: - 6 to 17 years: - With health insurance coverage,HD01_VD07,1229,3729,2765,2362,3579,10472,3917,1883,2592,2732,4956,2080,2210,1672
Male,6 to 17 years,With health insurance coverage,Margin of Error,Margin of Error; Male: - 6 to 17 years: - With health insurance coverage,HD02_VD07,247,495,446,437,381,798,553,287,366,453,447,379,413,315
Male,6 to 17 years,No health insurance coverage,Estimate,Estimate; Male: - 6 to 17 years: - No health insurance coverage,HD01_VD08,90,51,215,0,0,725,179,61,69,0,109,49,111,94
Male,6 to 17 years,No health insurance coverage,Margin of Error,Margin of Error; Male: - 6 to 17 years: - No health insurance coverage,HD02_VD08,67,60,284,118,118,255,133,55,56,118,83,52,114,119
Male,18 to 24 years,All,Estimate,Estimate; Male: - 18 to 24 years:,HD01_VD09,751,2652,1479,1028,1002,9236,2894,987,631,1250,1991,578,1235,1351
Male,18 to 24 years,All,Margin of Error,Margin of Error; Male: - 18 to 24 years:,HD02_VD09,295,517,314,364,344,893,424,247,155,245,399,241,320,374
Male,18 to 24 years,With health insurance coverage,Estimate,Estimate; Male: - 18 to 24 years: - With health insurance coverage,HD01_VD10,614,1734,1230,964,937,6301,2033,741,631,1086,1628,530,1119,981
Male,18 to 24 years,With health insurance coverage,Margin of Error,Margin of Error; Male: - 18 to 24 years: - With health insurance coverage,HD02_VD10,258,471,299,364,348,769,385,187,155,249,352,230,295,324
